State,Fellow,Project Summary,Administering Organisation,Total Project Funding,Project Duration in years
New South Wales,Dr Alexander Mason,"At the molecular level, biology is noisy, and life has evolved a plethora of mechanisms to harness this noise for useful output. If we want to construct de novo living systems to learn more about biology and the origin of life, then we must not ignore noise. This project aims to apply a design philosophy that embraces randomness to construct an artificial chemical synapse. Expected outcomes include creating a blueprint for the next generation of more dynamic artificial cells, developing vital tools for the elucidation of principles in biophysics and systems biology, and deepening our understanding of how noisy molecular level events have downstream effects on macro-scale behaviours. Several international collaborations are involved.",The University of New South Wales,"$433,654 ",3
New South Wales,Dr Deepak Mishra,"This project aims to develop novel theories, system models, and energy-efficient optimisation algorithms to fight against eavesdropping and jamming attacks in backscatter communication networks. This project expects to advance knowledge in cybersecurity and sustainable communications by utilising passive tags for several confidential applications like human tracking and financial distributed systems. Expected outcomes include vital technologies required in practically realising the ubiquitous deployment of low-cost sustainable wireless devices in Internet-of-Things. This should significantly benefit the Australian industry, society and economy regarding reduced energy costs, enhanced spectrum efficiency, and improved communication security.",The University of New South Wales,"$426,118 ",3
New South Wales,Dr Stephen Mould,"This project aims to advance new methodologies for re-establishing 'artistic vibrancy' (a factor found to be lacking by the National Opera Review in 2014-16) within operatic practice in Australia. The project expects to generate new knowledge of vital, but hidden musical processes, using interdisciplinary approaches in order to rebalance and recalibrate the opera ecosystem. Expected outcomes include the revitalisation of operatic practice and the establishment of clear parameters for responsible opera curation. Benefits include an enhanced awareness of artistic vibrancy within opera, and the creation of new practices, which will be of significant cultural and artistic benefit to the wider Australian community.",The University of Sydney,"$442,327 ",3
New South Wales,Dr Nour Moustafa,"This project aims to design a novel vulnerability defence framework to automatically identify, prioritise and interpret vulnerabilities and their attack vectors from the Internet of Things (IoT). Currently, most Australian organisations can be targeted by complex cyberattacks, stealing sensitive information leading to financial loss and reputation threats. This project expects to generate new knowledge in IoT vulnerability assessment using economic risk estimation and cognitive vulnerability identification methods. Expected outcomes include trusted IoT vulnerability assessment methods and vulnerability testbed. Significant benefits are expected to protect IoT networks in all defence, industry and government sectors.",The University of New South Wales,"$419,218 ",3
New South Wales,Dr Danielle Muscat,"This project aims to enhance critical health literacy in culturally and linguistically diverse communities in western Sydney. Never in history has there been such an abundance of health information from numerous sources, with varying degrees of trustworthiness. This project intends to work with communities to co-create scalable interventions which promote critical health literacy and support people to navigate and appraise the sea of available health (mis)information. This project expects to provide significant social and health benefits through the development of innovative health literacy research methods for use with culturally-diverse communities and scalable interventions with the capacity to enhance critical skills across communities.",The University of Sydney,"$467,132 ",3
New South Wales,Dr Thanh Nguyen,"This project aims to develop a novel cost-effective and eco-friendly method to stabilise soil foundation for faster and heavier rail transport. The scientific knowledge of cyclic behaviour capturing localised and microscale evolutions of railway foundation will be advanced significantly via innovative physical modelling using iconic facilities with state-of-the-art sensors, and sophisticated numerical modelling. The project will yield a natural biopolymer-based solution for mud pumping railways, i.e., a critical issue causing substantial annual maintenance cost and poor transport efficiency in Australia and worldwide. The outcomes will greatly benefit transport infrastructure, mining, agriculture, environment and climate change remediation.",University of Technology Sydney,"$443,181 ",3
New South Wales,Dr Michael Nielsen,"The integration of functional molecular materials with inorganic systems remains an outstanding hurdle to achieve durable, highly efficient optoelectronic devices. This project aims to develop and understand this new class of devices, with a focus on directional energy transfer processes across hybrid interfaces. This project expects to generate new knowledge in photovoltaics (PV) and for organic light emitting diodes (OLEDs) by studying triplet transfer in two model systems. The first will be a step towards the development of advanced PV devices using down-conversion to push solar cells beyond the efficiency barrier. The second will demonstrate inorganic-organic solid state up-conversion for next generation OLEDs with improved stability.",The University of New South Wales,"$449,154 ",3
New South Wales,Dr James Norton,"This project aims to develop the first unified account of progress in science and philosophy, by extending the noetic account of scientific progress into an account of philosophical progress. According to this account, progress consists in increased understanding, i.e., in grasping how something depends on, or fails to depend on, something else. Developing a unified account will shed light on the nature of intellectual progress quite generally, as well substantially advancing meta-philosophical debates about (i) the prevalence of philosophical progress; (ii) whether, and the ways in which, expert disagreement would undermine progress; and (iii) which philosophical methodologies promote progress.",The University of Sydney,"$428,416 ",3
New South Wales,Dr Luke Parry,"This project aims to reconstruct the early evolutionary history of the Spiralia, a megadiverse animal group that extends back 540 million years. Their oldest fossils represent some of the earliest known animals and can reveal much about the speed and magnitude of evolution during the Cambrian Explosion, when most animal groups rapidly appeared. This project expects to generate new knowledge on the origin and radiation of some of the first animal body plans to better understand the early history of complex life. Anticipated outcomes and benefits include a new macroevolutionary framework for spiralians, novel approaches to studying invertebrate fossils, and highlighting the scientific importance of Australia’s natural heritage.",The University of New England,"$399,064 ",3
New South Wales,Dr Michelle Peterie,"This project will investigate the consequences of parental detention for children living in the Australian community. It will use qualitative sociological methods to document and theorise children’s experiences of a parent’s detention, with a focus on the factors that shape children’s social, emotional and material wellbeing in these situations. Expected outcomes include new knowledge concerning the lives and welfare of these potentially vulnerable children, as well as evidence-based insights regarding the social supports they need to thrive. The project will deliver internationally relevant recommendations to help policymakers and service providers improve the lives of children and families navigating the incarceration of a parent.",The University of Sydney,"$459,242 ",3
New South Wales,Dr Yi Shen,"It has been recognized recently that cellular proteins can undergo liquid-liquid phase separation, however, a further liquid-to-solid transition can lead to aberrant biological processes. This project aims to investigate and control this behaviour to gain insights into cell dysfunction and new routes for biomaterials development. An integrated approach combining microfluidic platforms, optical techniques, and vibrational spectroscopy will be exploited. Expected outcomes of this project include the mechanistic understanding of protein phase behaviour and protein-based biomaterial engineering. This should provide significant benefits in the prevention of aberrant protein aggregation and the generation of materials as plastic substitutes.",The University of Sydney,"$441,454 ",3
New South Wales,Dr Brigitte Sommer,"This project aims to unravel the causes of abrupt ecological change in the subtropics and predict their future in warming seas. Uniting large-scale field observation and modelling in a novel multi-species framework, this project seeks to quantify how warming and species interactions combine to escalate change on subtropical reefs at different stages of tropicalisation. Expected outcomes include new insights into the factors that promote stability or change along subtropical coasts in Australia and Japan, where the influx of tropical species already has dramatic consequences. By comparing dynamics in Australia with tropicalisation hotspots in Japan, this project expects to anticipate future ecological shifts and benefit strategic management.",University of Technology Sydney,"$444,300 ",3
New South Wales,Dr Elyse Stanes,"The circular economy is being promoted to resolve the looming materials crises created by excessive consumption. But circularity is still out of reach for much of the economy. The DECRA project aims to address critical questions of how to manage obdurate wastes that exceed circular economy models. Through an innovative critical social science approach, the project expects to advance knowledge on two stubbornly obdurate wastes – refrigerants and plastic textiles, their latent capacities for circularity, and the policy framings required to achieve change. Expected outcomes include enhancing Australia’s capacity in developing more circular economies, and integrating these into the next generation of industry and environmental policies.",University of Wollongong,"$449,335 ",3
New South Wales,Dr Kaiwen Sun,"This project aims to develop Kesterite/Si tandem device for photoelectrochemical carbon dioxide reduction to produce solar fuels. It is expected to reveal the photoelectrochemical mechanism of the p-n heterojunction, thereby promoting solar energy utilisation and greenhouse gas reduction. Expected outcomes include delivery of a high-performance kesterite photocathode for efficient CO2 reduction, a kesterite/Si tandem device for overall unassisted solar fuel production, and an in-depth understanding of structure-performance correlation to guide future heterojunction photocathode design. This project should provide significant benefits in minimising fossil fuel consumption, increasing energy security, and expanding the clean energy industry.",The University of New South Wales,"$440,154 ",3
New South Wales,Dr Jemma Todd,"This project aims to determine how pain interpretation drives pain experience, using rigorous state-of-the-art lab research. This project expects to generate new knowledge about the psychological mechanisms maintaining pain experience and avoidance behaviour, using novel techniques to measure interpretation of pain sensations. Expected outcomes include the development of an evidence-based psychological model of pain interpretation, enhanced capacity to build international collaborations, and ecologically valid methods for measuring pain interpretation. This research forms a solid platform for further translational research, to build novel, scalable interventions to improve outcomes for the one in five Australians living with chronic pain.",The University of Sydney,"$423,154 ",3
New South Wales,Dr Wei Wang,"This project aims to solve the problem of fire hazards caused by static electricity in hazardous industrial areas by synthesizing feasible, environmentally friendly, and efficient multifunctional biomass-based coatings. This research expects to study the fire-safe biomass coating using interdisciplinary approaches and establish a comprehensive understanding to provide new strategies and solutions to tackle fire safety issues occurring in hazardous industries and other relevant applications. This research and development of high value-added high-tech multifunctional biomass coating is targeted to boost the Australian local coating industry and bring about important economic and societal benefits.",The University of New South Wales,"$436,554 ",3
New South Wales,Dr Thomas White,"This project seeks to reveal how dynamic colour signals enable effective communication by connecting the production, transmission, and perception of visual information through space and time. By integrating innovative analyses of behaviour, physiology, and optics, it will offer original insight into how information is encoded and fluidly exchanged under real-world conditions, and produce new tools for interrogating the subjective visual world of animals. This work promises benefits to our understanding of how the universal process of communication drives adaptation amidst environmental change, with significant scope for bio-inspired solutions to contemporary problems of vision and efficient information processing, including among humans.",The University of Sydney,"$411,567 ",3
New South Wales,Dr Felicity Wilcox,"This DECRA will investigate one of Australia’s significant art-forms: opera. Led by an established Australian composer, it aims to develop new technologies and methods for composition and collaboration. The expected outcomes include new analysis of contemporary, international operatic practice and an original Australian opera that focuses on gender equity in music as its subject, translating data on this topic into creative-practice. The DECRA's significance is to create new, more inclusive frameworks for opera that centre women and gender-diverse music creators and can extend to other musical genres. Benefits include the investigation of urgent issues arising now in Australian workplaces and amplification of the voices of the marginalised.",University of Technology Sydney,"$457,350 ",3
New South Wales,Dr Daozhi Xu,"This project will produce the first major study of Chinese Australian writing about Indigenous people, culture and country from the 19th century to the present. Drawing on literary, historical, and cultural studies approaches, it will provide insights into the enduring Indigenous-Chinese relationships from Chinese perspectives. It will bring to light how Chinese immigrants engage with Indigenous issues to articulate a sense of belonging. It will provide a new account of the making of Chinese Australian identity, by exploring a distinctly Chinese position between Indigenous and settler sovereignties. It will enhance understanding of the role and responsibility that Chinese Australians have towards national reconciliation.",Macquarie University,"$371,402 ",3
New South Wales,Dr Xin Yu,"The aim of this project is to provide new effective and generalisable deepfake detection methods for automatically detecting maliciously manipulated visual data generated by misused artificial intelligence (AI) techniques. It will present innovative computer vision and image processing knowledge and techniques, enabling the developed methods to advance human perception in recognising fake data, enhance cybersecurity, and protect privacy in AI applications. The anticipated outcomes should provide significant benefits to a wide range of applications, such as providing timely alerts to the media, government organisations, and the industry about misleading fake visual data, and preventing financial crimes on synthetic identity fraud.",University of Technology Sydney,"$421,554 ",3
New South Wales,Dr Meng Zhang,"This project aims to improve the intrinsic stability of metal halide perovskite energy materials for advanced optoelectronic applications. The key concept is to suppress the phase-segregation for alloyed perovskite by interstitial management as well as develop low-temperature crystallization for non-alloyed perovskite through rational design of the intermediate phase evolution, which has the potential to generate new knowledge in addressing the key challenge on the operational stability of perovskite devices. The outcomes are expected to deliver valuable intellectual property to accelerate the commercialization of perovskite technology, enabling low-cost utilization of solar energy for a sustainable and low carbon-emission economy.",The University of New South Wales,"$426,780 ",3
New South Wales,Dr Zhongpu Zhang,"Despite its importance and potential, ceramic additive manufacturing (AM) is facing significant challenge for its inherent material characteristics prone to shrinkage and fracture during fabrication process. This project aims to fill a knowledge gap by developing a new computational design framework for a commonly-used indirect AM process. It will address a range of AM issues, such as residual stress/distortion, cracks, and uncertainty in a nondeterministic context. The study is expected to establish novel design methodologies for ceramic AM with process modelling, robust/reliable optimisation, and fracture-based design. It will provide ceramic industry with a new framework for biomedical, aerospace and mechanical applications.",The University of Sydney,"$448,354 ",3
New South Wales,Dr Shan Zhou,"This project addresses the need for corporate disclosures on climate-related risks. It aims to generate new knowledge about reporting and auditing of climate-related information and how these metrics are incorporated into executives’ remuneration. Utilizing the latest global developments, the project will highlight best practices under both voluntary and mandatory reporting regimes and provide cross-jurisdictional evidence on the impact of mandatory reporting schemes. It will also test the effectiveness of reporting, auditing and remuneration in achieving carbon emissions reductions and meeting capital market demands. The project will lead to improved capital market efficiency and informed policy making in Australia and internationally.",The University of Sydney,"$434,287 ",3
Queensland,Dr Rebecca Byrne,"This project aims to be the first study to investigate whether children who experience consistent and responsive feeding practices both at home and in early childhood education and care have higher levels of self-regulation, optimal eating behaviour and diet quality. The project expects to develop simple and low-cost strategies that parents and educators can use at mealtimes to enhance child self-regulation. With one million Australian children in care during their parent’s working week, outcomes of this project have widespread benefits. Higher self-regulation improves a child's health and well-being and provides short- and long-term social and economic benefits including school readiness, academic achievement and workforce participation.",Queensland University of Technology,"$450,556 ",3
Queensland,Dr Seth Cheetham,"Each cell of the human body contains identical genetic information that is activated in different ways to form varied cell types. This research aims to develop novel single-cell genomic technologies to explain the origins of different cell types. This project expects to discover the molecular mechanisms through which specialised cell types are formed, which has been difficult to decipher using existing methods. My novel approach will elucidate how a small population of seemingly homogenous cells can give rise to a myriad of types of cells. Tracing the life histories of cells across time should lead to broad applications including in developmental biology, neuroscience and immunology.",The University of Queensland,"$465,803 ",3
Queensland,Dr Tong Chen,"This project aims to address the resource-intensive and non-resilient nature of existing cloud-based personalised recommendation services. This project expects to generate new knowledge in the intersection of on-device machine learning and recommender systems. The expected outcomes include a novel auto-deployment platform that can efficiently customise a model for each user device's configuration, supporting on-device recommendation and model updates with tiny computational footprints. The benefits of these outcomes will position Australia at the forefront of AI and give numerous businesses the tools needed to deploy innovative business systems with a secure and cost-effective advantage.",The University of Queensland,"$420,154 ",3
Queensland,Dr Peng Chen,"This project aims to design functional materials for the development high-performance and durable solar energy conversion devices, which enable efficient green solar hydrogen production to reduce fossil fuel consumption and alleviate environmental burden. The expected outcomes include advanced semiconducting materials, proof-of-concept solar-driven water electrolytic system with a high solar-to-hydrogen conversion efficiency, and cutting-edge knowledge in material science, physical chemistry, and nanotechnology. The success of this project expects to facilitate pilot-scale green hydrogen industry and thus position Australia at the frontier of advanced materials, clean energy, and renewable hydrogen supply technologies.",The University of Queensland,"$394,818 ",3
Queensland,Dr Daicong Da,"Fracture is the main source of material failure and may cause serious engineering disasters and even death. This project aims to develop a Data-Driven Design System that intelligently optimizes local materials and architectures for heterogeneous structures with desired fracture response, and enhancing their mechanical fracture properties including stiffness, strength, toughness, and failure displacement. It will open up a new and promising research field in mechanics and data-driven science that deals with intractable inverse problems in broad engineering fields. Economic, high-performance, and customized 3D printed structural materials will be generated to benefit national corporations and enterprises and meet the high-end industry needs.",Queensland University of Technology,"$439,012 ",3
Queensland,Dr Itia Favre-Bulle,"Understanding the functions and intricacies of the brain is a fundamental challenge in scientific research. This project aims to develop new technologies to construct a microscope able to alter and make sense of neuronal activity in situ. This project also aims to investigate the precise role of a key brain region involved in sensory processing: the locus coeruleus. The results will reveal how this brain region influences brain dynamics as well as behaviour. Expected outcomes include state of the art microscopes, high impact publications, and international collaborations. The anticipated benefits are the high quality training of the Australian workforce and further establishment of Australia as a leader in microscopy and neuroscience.",The University of Queensland,"$382,462 ",3
Queensland,Dr Fiona Foley,This project aims to unite conflicting versions of Australian history by investigating the impact and effectiveness of Australian Aboriginal Frontier War memorials. It will expand our understanding of the shared sacrifices by First Nation and settler Australians during the frontier war and demonstrate the reconciliatory potential of memorialising art informed by Indigenous oral history and creative arts research and practice. The social and cultural benefits include developing a new understanding of the historical construction of Australian national identity and the potential of Indigenous art to transform the function of Australian military monuments as well as a permanent archive of short documentary films and publication.,Griffith University,"$454,705 ",3
Queensland,Dr Lachlan Harris,"Most adult stem cells in our brains are sleeping (quiescent). Quiescence helps ensure animals have a lifelong population of brain stem cells, which is crucial for the maintenance of brain circuitry. This project aims to investigate how this process is regulated at a molecular level. This project expects to define the molecular playbook controlling quiescence and explain why brain stem cells progress into deeper states of quiescence during aging by combining novel tissue culture and genetic models, where brain stem cells have disrupted quiescence, with innovative methods of reading gene expression. The benefits of these outcomes include the development of methods to control the quiescence of brain stem cells for bioengineering purposes.",The University of Queensland,"$444,576 ",3
Queensland,Dr Jessica Harrison,"Mosquito-borne viruses are a topic of intense research due to their complex biology, ecology and evolution, and their potential to produce unpredictable outbreaks of disease in both humans and animals. Insect-specific viruses (ISVs) are viruses that replicate solely in mosquito cell and are unable to infect vertebrate tissues. This project aims to assess the biodiversity of ISVs in the Australian mosquito population and identify key factors behind their restriction in vertebrates. The objectives of the studies proposed will answer clearly defined important biological questions about ISVs, while also delivering technological advances, novel reagents and potential commercial outcomes for the control and prevention of arboviral disease.",The University of Queensland,"$397,003 ",3
Queensland,Dr Siqi Huo,"This project will create a new class of phosphorus/imidazole oligomers for single-component epoxy resins with superior storage stability, fire retardancy and mechanical properties. By establishing a fundamental understanding of the structure-composition-property relationships of one-component epoxy resins, it will address two major challenges - high reactivity and short shelf life, and poor flame retardancy and mechanical properties, which limit practical applications. This project will develop environmentally benign, flame-retardant oligomers, reducing fire hazards, protecting lives, property and the environment, by replacing current flammable epoxy resins used in electrical, construction and transportation.",University of Southern Queensland,"$421,574 ",3
Queensland,Dr Hope Johnson,"Australia needs to produce more protein, sustainably into the future. This project aims to determine how this can be achieved by developing optimal ways of regulating alternative proteins. Alternative proteins imitate meat and dairy but are often made using new technologies. This project combines an innovative mix of empirical and legal analysis to understand the full range of expectations, opportunities and risks regarding alternative proteins and their regulation. It uses this new knowledge to determine how to regulate for healthy, sustainable and prosperous future food systems. Expected outcomes include a new approach to regulating food and the creation of new pathways for stakeholder engagement in regulation for better food futures.",Queensland University of Technology,"$450,853 ",3
Queensland,Dr Jacqueline Lau,"This project aims to understand how morality influences adaptation to climate change in the Great Barrier Reef region. This project expects to generate new knowledge in the critical area of climate change adaptation, using an interdisciplinary approach. Expected outcomes include empirical insights into the connection between morality and adaptation, international collaborations, theory development, and refined methods to help identify leverage points for incorporating morality into climate change decision-making. This should provide significant benefits, including a basis for policy-making in Australia and globally, that supports effective and just adaptation to climate change in ways that sustain livelihoods and respect local values.",James Cook University,"$439,218 ",3
Queensland,Dr Andrew Letten,"The flow of nutrients through ecological systems fluctuates through time and yet the impact this variability has on the maintenance of biodiversity is poorly understood. Drawing on emerging theory and a tight integration of modelling and experiments in a model microbial system, this project aims to investigate the impact of modified nutrient regimes on the structure and stability of ecological communities. This project expects to generate new knowledge at the forefront of research into diversity maintenance, ecosystem functioning and higher-order interactions. The outcomes should provide a deep mechanistic understanding of microbial community dynamics, with applications from animal health to environmental flows and insect pest management.",The University of Queensland,"$447,320 ",3
Queensland,Dr Rijia Lin,"This project aims to develop a new class of glassy metal-organic framework (MOF) membranes for CO2 separation and conversion. By constructing membrane reactors, it is expected to simultaneously separate CO2 from gas mixture and subsequently convert it into value-added chemicals in a continuous single operating unit. The expected outcomes include fabrication techniques for ultrathin MOF glass membranes, cutting-edge knowledge in advanced MOF membrane design, a new generation of MOF devices, and efficient membrane reactors for CO2 conversion with mixed gas feed. This project expects to accelerate the development of low-carbon technologies and provide significant benefits in mitigating the adverse effects of anthropogenic CO2 emissions.",The University of Queensland,"$437,154 ",3
Queensland,Dr Haijiao Lu,"This project aims to use solar energy to convert carbon dioxide, the primary greenhouse gas that drives global climate change, into valuable chemicals via catalytic reduction. This project expects to facilitate the selective production of valuable ethylene from carbon dioxide reduction by developing novel cocatalyst materials derived from metal-oxo cluster molecules. Expected outcomes include fundamental understanding of the structure-property relationship in new catalytic systems, and technological breakthroughs in reducing carbon dioxide emissions. The success of this project will bring significant environmental and economic benefits, and position Australia at the frontier of global transition to a low-carbon economy.",The University of Queensland,"$409,118 ",3
Queensland,Dr Ariadna Matamoros Fernandez,"Harmful humour impacts on women’s wellbeing online, but is poorly managed by social media platforms, and has not been integrated into online safety regulation and policy. This project aims to bring together sociocultural theory, social media analysis, and interviews to better understand the dynamics of harmful humour online in Australia. It will work with users, community leaders and industry stakeholders to evaluate current platform and policy responses and how they could be improved. The anticipated outcomes include theoretical advances, workable principles for better content moderation processes that reduce harm without restricting healthy expression, and evidence-based contributions to debates on online safety regulation.",Queensland University of Technology,"$400,000 ",3
Queensland,Dr Christopher Ndehedehe,"This project aims to develop a novel framework that uses big data from satellites to assess the impacts of droughts and water extraction on groundwater resources in Australia, currently poorly understood and difficult to monitor. This project expects to generate new insights into the mechanisms driving changes in groundwater availability and identify risks from sustained groundwater extraction. Expected outcomes include a new national capability to assess and monitor groundwater resources from space and providing data for government, farmers, communities and traditional owners to better prepare for future droughts, increase disaster preparedness, and sustainably manage groundwater resources in a changing climate.",Griffith University,"$428,000 ",3
Queensland,Dr Cheneal Puljevic,"As Australia implements policies that reduce the availability and affordability of tobacco, demand for illicit tobacco is likely to grow. This research aims to generate new knowledge about the drivers and deterrents of demand for illicit tobacco through three inter-related projects. Expected outcomes include a comprehensive understanding of factors influencing Australians’ demand for illicit tobacco, and expert-informed policy recommendations to reduce demand for and deter use of illicit tobacco. With no substantive Australian research on this topic for more than 15 years, this research will be essential to reduce the impacts of the illicit tobacco market, including substantial losses in tax revenue and the funding of organised crime.",The University of Queensland,"$458,039 ",3
Queensland,Dr Kate Quigley,"Oceans are changing. Coral reefs are wonders of high socio-economic value threatened by climate extremes. This project aims to identify reefs that support the most fundamental biological processes for ecosystem-scale resilience: dispersal, symbioses, and adaptation. To urgently prepare against extinction, this project expects to deliver ground-breaking estimates of coral evolution by integrating genomics and innovative disease models. Expected outcomes include the discovery of reefs that can survive extremes and repopulate other reefs, providing benefits in optimized capabilities to protect resilient and vulnerable reefs to sustain future ecosystem services and boosting Australia as a global leader in the conservation genomics revolution.",James Cook University,"$438,547 ",3
Queensland,Associate Professor Janice Rieger,"This project aims to respond to an identified injustice, as access to cultural heritage is still very limited for people with disability. Cultural tourism has one of the largest draws globally, but most cultural institutions are still not understanding equitable access to encourage inclusive cultural tourism and widen participation. As a world-first study this project will create an innovative co-design model of practice, through an ecological framework and inclusive multi-sensorial explorations that can be translated and adopted by national, state, university, and regional museums and galleries across Australia and globally. This timely project will benefit all Australians by co-designing greater access to our cultural heritage for all.",Queensland University of Technology,"$459,468 ",3
Queensland,Dr Jessica (Jessa) Rogers,"This project generates evidence that is urgently needed to improve Indigenous Australian boarding school outcomes, by examining the life paths and experiences of recent graduates. It draws on rich qualitative data regarding Indigenous graduate experiences, to examine practices that affect retention, attainment, post-school pathways and cultural wellbeing. This project expands a novel Indigenous research method, photoyarn, to amplify the voices of Indigenous participants using digital co-research processes. Providing first-hand evidence to inform Indigenous education policy, this project also produces best practice guidelines for Australia's boarding school industry, toward closing the gap in Indigenous boarding graduate outcomes.",Queensland University of Technology,"$436,968 ",3
Queensland,Dr Sally Staton,"Sleep in early childhood is the single most critical activity for healthy brain development. Yet, a third of young children are identified by their parents as having a sleep problem. This study aims to test the hypothesis that social mechanisms underpin developing sleep patterns and problems. The study examines the change in sleep patterns as children enter non-parental care and the daily and weekly regularity of sleep as they transition between home and their diverse care arrangements. Discovery of the ways family work lives influence child sleep presents the potential to offer new solutions to support healthy sleep development and avert sleep problems. The benefits are for caregivers, family well-being, and children’s development.",The University of Queensland,"$463,976 ",3
Queensland,Dr Julian Steele,"This project aims to develop deep structure-property relationships and strain engineering protocols to generate stable forms of the emerging inorganic halide perovskite semiconductors, which are promising for next-generation solar cells and light emitting diodes. This project expects to arrive at working light emitter and detector prototypes via a three-dimensional, multi-length scale strain engineering approach that utilises materials processing techniques already used in the semiconductor industry. The expected outcomes include the development of new stabilisation methods which are compatible with facile and scalable device processing, which will directly impact the success of future perovskite optoelectronic devices and technologies.",The University of Queensland,"$426,062 ",3
Queensland,Dr Elizabeth Strakosch,"This project aims to study the relationship between Indigenous policy systems and foundational political relationships in Australia, the US, Canada and New Zealand via in depth case studies. Across all four states, policy struggles to substantively improve Indigenous wellbeing, but Australia has the poorest results and weakest formal political recognition. Expected outcomes include a new approach to understanding Indigenous policy that links policy dynamics to conflicts between settler and Indigenous sovereignties and comparative policy data across the English Speaking settler colonial states. It will benefit Australian Indigenous and policy communities by showcasing international best practice in policy collaboration and effectiveness.",The University of Queensland,"$385,950 ",3
Queensland,Dr T.J. Thomson,"This project aims to measure the volume and quality of visual content on regional news platforms by diverse publishers in eight key geographic areas. It is the first in Australia to examine the full cycle from production through presentation to consumption for local visual news in a regional context. Expected project outcomes include enhanced relationships between journalists and communities, stronger regional news ecosystems, and a more representative local visual news product. These outcomes boost the academic understanding of an understudied area, help regional Australia, including regional Indigenous Australia, see itself in the journalism that is produced in the regions, and provide commercial benefits to hard-hit news providers.",Queensland University of Technology,"$454,386 ",3
Queensland,Dr Xianyu Wang,"This project aims to establish the first Australian indoor air monitoring program that identifies hazardous chemicals and their sources and trends under a changing climate. The project expects to provide key evidence to policy-making decisions including prioritising indoor chemical threats for regulation. The expected outcomes include the establishment of criteria for home recruitment for indoor pollution research, identification of new chemical pollutants and their sources, and assessment of their trends. The benefit is to advance the knowledge on indoor exposure research, raise the awareness of the climate change conditions, addressing the government priority research area of Environmental Change.",The University of Queensland,"$413,542 ",3
Queensland,Dr Penelope Williams,"This project aims to explain the impact of technologies that automate people management. Through four integrated studies, this project expects to generate new knowledge on a currently invisible set of managerial and industrial practices that are profoundly reshaping work and employment relations. Expected outcomes include the first typology of automated people management technologies that will be used to reveal where and how automated people management is occurring in Australia and its effects on managers and workers. This much needed research should provide significant practical benefit to organisations and inform emerging policy and frameworks for the responsible adoption of AI and digital technologies in Australian workplaces.",Queensland University of Technology,"$458,798 ",3
Queensland,Dr Miao Xu,"The project aims to develop data analytics techniques that aid better decision making in high-stake scenarios when data are less-trustable. While data-aided decision making has been widely used, less-trustable data may significantly distort the decisions made and hurt people impacted by these decisions. The outcome of this project expects to be a series of techniques covering data understanding and enhancement, model development and fitting, and novelty detection, to reduce the damage of less-trustable data. The research expects to benefit the people and companies impacted by data-aided decision making in cybersecurity, healthcare and financial fraud detection, providing risk-control services.",The University of Queensland,"$420,000 ",3
Queensland,Dr Zhe Yang,"The project aims to develop high-performance membranes with excellent permeability and selectivity to allow efficient separation processes with reduced energy consumption and products with high purities that cannot be achieved by conventional membranes. By introducing the functionalized interlayer, the novel membrane can achieve up to an order of magnitude higher solvent permeance with significantly enhanced solvent-solute selectivity. Machine learning algorithms will be applied to search for the ideal interlayer based on a newly-launched online and comprehensive database. This project will contribute to accelerating Australia’s progress towards net-zero carbon emission and allowing a sustainable environment.",The University of Queensland,"$429,554 ",3
Queensland,Dr Fan Zhang,"This project aims to quantify thermal environmental impacts on office productivity. It expects to firmly dismiss the prevailing misbelief that an indoor temperature of 22 °C leads to maximum workplace productivity, and create a paradigm shift in building management practice in commercial buildings. Expected outcomes of this project include a novel productivity metric, a standard measurement protocol for assessing thermal environmental impacts on office productivity, and world first indoor thermal environmental control guidelines tailored to diverse cognitive activities in the workplaces of different industries. This should provide cost-effective solutions to reduce building energy use while maintaining optimum workforce productivity.",Griffith University,"$435,232 ",3
Queensland,Dr Cheng Zhang,"This project aims to advance the development of safe rechargeable all-solid-state batteries (ASSBs) by innovating fluorinated block copolymers as solid-state electrolytes. ASSBs are the most promising power source for emerging energy storage goals, however, low ionic conductivity and poor long-term cycling stability are critical bottlenecks to their successful application. This project seeks to tackle these challenges by fabricating unique ionic conduction channels and stabilising electrode-electrolyte interfaces using fluorinated block copolymer electrolytes. The expected outcomes are new knowledge in polymer electrolytes and advancement in the commercialisation of ASSBs toward more efficient, safe and reliable energy storage technologies.",The University of Queensland,"$422,318 ",3
Queensland,Dr Dominique de Andrade,"Alcohol-related violence in entertainment precincts is a significant community safety problem. This project aims to improve knowledge on individuals that are violent in entertainment precincts. It is expected to be the first study globally to use linked data to develop multi-system informed offending trajectories of violent offenders in these settings, examine the impact of patrons bans on offending trajectories, and apply situational action theory to alcohol-related violence. Results are expected to inform a critical knowledge gap and assist in the development of targeted violence preventive responses which reduce harm and make communities safer.",Griffith University,"$442,723 ",3
South Australia,Dr Fatwa Adikusuma,This project will further develop a recent breakthrough in gene editing technology named CRISPR prime editing to improve its performance in generating specific genome modifications in cells and organisms. This project expects to generate new knowledge regarding optimal strategies for its deployment as well as create novel enhanced versions of the technology. This would significantly enhance our ability to perform precise genome modification of organisms and lead to substantial benefits for a vast array of applications in fundamental and applied biology. Future applications will include generating mutations in cells and model organisms for basic research and creating genetically enhanced agricultural animals or plants.,The University of Adelaide,"$458,238 ",3
